Sentence,Source CM
"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",War
"In the run-up to 9 June 1983, Francis Pym, then Foreign Secretary, famously said ""landslides on the whole don't produce successful governments"".",Building
"For those few examples, we are then suppose to accept their belief that if we have registration in the USA the eventual nextstep will be a confiscation of guns and a destruction of the right to bear arms.",Physical Harm
"In all actuality nothing is going to help Detroit, because you cannot help those who truly don't want to be helped, just like with any other addiction, yes addiction of poverty which it seems has taken a choke hold on Detroit's population, the addicted parties need to help themselves before anyone can truly help.",Addiction
"President Obama called him ""the unsung hero of this campaign, who built the...best political campaign, I think, in the history of the United States of America.""",Story
They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,War
"Just like Obama exemption ultra-mega-billionaire heirs to WalMart from ObamaCare, just like tens of millions and billions in charity to mega corporations, Just like Obama cheering GE for paying ZERO taxes, ObamaCare is for property tax relief to the super rich to shift it instead to blue collar and middle class white collar workers.",Disease
Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,Struggle
"Some would have you believe that this legislation cures voter identity fraud, continued Wilson.",Disease
They are valued partners in an effort to combat hunger in America.,War
"As previously mentioned, competitive eater Takeru Kobayashi went to town on a bunch of fruitcake this morning, all in the name of fighting hunger for the Food Bank of NYC.",Struggle
"By romanticizing, he means the veneration of taxation or, as is often pushed by the modern left, the sentiment best spoken by Justice Oliver Wendell Holmes, ""Taxes are the price we pay for civilized society"".",A God
"In no way do our efforts challenge the right to bear arms.""",Competition
The unelected civil bureaucracy oppresses the mom and pop businesses which are the backbone of this country.,Enslavement
The election threatens to put a nail in New Hampshire's reputation as a home to a flinty form of New England Republicanism focusing on individual freedom and low taxes.,Physical Harm
"To paraphrase Mark Twain, rumors of the death of guns have been greatly exaggerated.",Life Stage
"In reality, these letters - 106 to rifle owners, and 108 more to residents with standard capacity magazines – are the first step in the Connecticut State Police beginning to round up guns arbitrarily made illegal last year in that state.",Animal
"He attacks corporations, he attacks those who've worked hard to accumulate wealth for their families (good for them!), he attacks the banking industry, he attacks taxpayers by raising taxes.",War
"Specifically, plaintiffs allege that the current election system impairs black citizens' ability to elect representatives of their choice by diluting the black vote through submergence in a multi-member district.",Physical Harm
"I am not a proponent of gun control and I think its important to think long and hard before one gives up any right that he currently has, but that doesn't mean I have to believe in a DELUSION that rounding up all the guns in America is even possible.",Animal
"Together, you and I CAN defeat the Internet sales tax, but you must take action now!",Game/Struggle
"The story went on to be a classic tale of a customer having a problem, contacting a giant organization, and feeling like their call for help echoed into the unknown abyss of bureaucracy.",Abyss
"Therefore, higher taxation generates an anticipated recession, but it also reduces the expected length of that phase.",Machine
"You do realize, that when you distill government down to its most basic form, it is nothing more than a monopoly on force?",Resource
"Login Reply #19: Guns are a burden, an obstacle to life, liberty and pursuit of happiness [View All]",Physical Burden
you throw the term INSANE around a lot when the real insanity comes from the garment soiling gun haters who are either terrified of the fact that others make personal safety their individual responsibility or hate conservatives and think attacking gun rights is just punishment for us being against nanny state collectivism.,Struggle/War
"Through programs that help governments to strengthen democratic processes, promote equitable economic growth, and improve health and education standards, USAID is helping countries in the region with the will to reform to move along a trajectory toward MCA eligibility.",Building/Strength
Courting LBA political money by presidential candidates requires a willful disregard of the systemic degradation of representative democracy.,Physical Harm
When gun control is a felony,Crime
Consumer-Driven Culture Is Killing Our Democracy,Physical Harm
"So as he flounders in the sea of gun control, and watches over a security apparatus that ought to have prevented the Bostom Bombings, he might look upon Syria as a chance to change hats to Horatio Hornblower.",Body of Water
Strategies of Transformation Toward a Multicultural Society: Fulfilling the Story of Democracy,Story
"People who divert attention from our rights to selling, promoting and glorifying guns are simply doing gun controls work for them.",A God
"3) And finally, all of what Obama is doing flies in the face of, and gives the middle finger to, both the 5th Amendment and the 14th Amendment of our sacred Constitution.",A God
"At the time, it looked like gun control was slowly dying in the upper chamber.",Life Stage
NRA Wins 91 Percent Of Congressional Elections In 2014,Competition/Game
I don't worship guns and I've never felt my right to own firearms was under any sort of credible attack.,A God
We know that this democracy disintegrated following the rise of capitalist trade and monarchical absolutism.,Physical Harm
"As the government overdoses on power, it reacts, takes over, advancing to levels of control that we would have resisted not too long ago.",Addiction
Be careful of glorifying guns though.,A God
"This inexplicably urgent modification to the budget and all the reasons that got jumbled together for it revealed yet again the excess spending into which the government has fallen, and the notable inefficiency of the ministerial work, particularly in the social area.",Downward Movement
Investments only deepen your wealth.,Abyss
Find out how you can carry the torch for gun rights at a local level through personal contact and the media.,Fire/Light
"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",A God
"Some argue that investment tax breaks reduce double taxation, since profits are taxed at both the corporate level and at the individual level when distributed to shareholders as capital gains or dividends.",Downward Movement
"Minimum wage limits the employer/employee relationship to protect the weaker party, the employee.",Confinement
"That is a mountain of guns, and it's growing.",Hazardous Geographic Feature
"Just this morning I discovered that PayPal had shut off my PayPal account, frozen my money in the account and has flagged my account for review.",Temperature
