Sentence,True,Prediction
But nobody's in there defending the taxpayer.,Protection,Protection
For you financial domination equals tax domination.,Enslavement,Enslavement/Leader
"The great folks at the Cato Institute explain their important, recent 2nd Amendment victory  in Washington DC in this ten-minute podcast.",Competition/War,War
Is U.S. Democracy A Failed Experiment?,Science,Science
"Login Reply #19: Guns are a burden, an obstacle to life, liberty and pursuit of happiness [View All]",Physical Burden,Barrier
TC thinks EP voters can be duped into believing that she is shining her holy light into the abyss of government in this 'burg because she is their knight in shining armor.,Abyss,Abyss
I suspect most of them don't even believe the bovine droppings they proffer but they feel a need to attack gun ownership for reasons that have nothing to do with a desire to decrease crime,Struggle/War,Protection/Struggle
"Follow the story of Virginia Assembly member John Frye (played by the young Jack Lord) during the crucial period when the colonists resisted British taxation without representation, met force with force and chose revolution.",Struggle,Struggle
DONATE The Lobbyist Who Fights Democracy -- and Breast Milk,Struggle/War,Emotion Experiencer
He got his little taxation victory over the so called fiscal cliff when they raised taxes on people making over $400K but he got kicked in the balls on any tax highs for the sequestration.,Competition/War,Game/Struggle
"My point was that governments have killed more people - the OP did not say the US government but the last time I looked the US Govt was in fact a ""government"" and ""governments"" have killed far more people then individuals not engaged in the service of ""government.""",Physical Harm,Crime/Physical Harm
Currently democracy is a parasite for western Europe and the western world in general.,Parasite,Parasite
"Sure pro-gun legislation is great for gun owners, but it doesn't do much to reach out and let people know all about our cause; which is the advancement of gun rights.",Forward Movement,Forward Movement
Entrepreneurs worldwide are leading successful for - profit ventures which contribute to poverty alleviation in their communities.,Disease/Medicine/Physical Burden,Disease/Medicine/Physical Burden
"Although poverty has decreased since 1970s, even today 39% of the population lives below poverty line and finds it difficult to meet its basic survival needs.",Downward Movement,Downward Movement
"Sweep out the old, then when the fresh rain of democracy came, a whole new country would spring up, like mushrooms.",Natural Physical Force,Body of Water/Natural Physical Force
He would tell me who overcame abject poverty to rise to the top of his sport and who was suspected of doping.,Struggle,Struggle
"CUSIB pretends to be an opponent of bureaucracy, yet it supports leaving the largest U.S. international broadcasting bureaucracy of all, the Voice of America, unaltered.",Competition,Struggle
"As a force for poverty relief, Wal-Mart's $200 billion-plus assistance to consumers may rival many federal programs.",Disease/Physical Burden,Disease/Medicine/Physical Burden
"As Jefferson's comment suggests, the right to acquire property was the critical right for the founders; it made property rights the friend of the poor by allowing them to earn and safeguard wealth (""the fruits acquired by"" work).",Protection,Protection
Either way Reagan is the one who started it and now your sacred gun rights are hurt because of it.,A God,A God
"When we conquer a foreign land, our appointed governor cannot simply plant democracy in the tread of his boots.",Crop/Plant,Plant
They knew exactly how unpopular the legislation was but passed it anyways because of the outside influence from Democrats who wanted to reinforce gun control and Bloomberg who is a little dictator who just likes to get his way.,Building/Strength,Building
I beg your pardon but if there was any organisation effectively fighting gun control I would know about it.,Struggle/War,Struggle/War
"Somehow, a ""special election"" will cure all of Rochester's ills!",Medicine,Medicine
"I'll give you a hint, it was involving a taxation conflict.",Struggle,Struggle
"Nobody ever gets elected to any political office whatsoever unless he or she is hand-picked by a bunch of Jews and subscribes wholeheartedly to a complex agenda that preserves and protects the State of Israel at all costs, keeps Jews in complete control of all media and entertainment, turns the suffering of six billion slaves into mountains of money for Nazi conglomerates and keeps ordinary consumers brainwashed out of their poor, stupid minds.",Hazardous Geographic Feature,Hazardous Geographic Feature
Right now we know diddly squat...and any time a mentally unstable jerkwad purchases a gun and goes postal it hurts our gun rights more than if we supported stronger mental health care.,Physical Harm,Physical Harm
People in other countries are amazed as to how some people in the USA idolize the gun as some writers here do.,A God,A God
"But if his wealth harms the poor, it is not justified.",Physical Harm,Physical Harm
"Our scientist, after fighting off an invasion of red tape, puts together his ideas into a product which looks like a completed puzzle from one angle.",War,War
"Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.",Struggle,War
"Simple solutions like providing high-yield seeds, fertilizers, medicines, drinking wells, and materials to build school rooms and clinics are effectively combating extreme poverty and nourishing communities into a new age of health and opportunity.",War,Struggle/War
"How can local governments and civil-society organizations effectively fight poverty and promote social responsibility in countries as diverse as Canada, China and Ghana?",Struggle,Struggle/War
The building is currently producing income.,Factory/Resource,Factory
"Prohibition didn't end alcohol addiction in the 1920s, and gun laws won't end gun addiction in our time.",Addiction,Disease/Emotion Experiencer
"Over more than ten years, sides were taken, guns drawn, lives lost.",Competition,Game
We cannot allow Texas to go down the big government pathway.,Pathway,Journey
If even a tenth of the current military has the lack of morals to try and suppress the peoples of this country (hopefully to be many small countries in the end) I personally hope they rot in whatever hell you believe in along with the statist ninnies who worship gun control and the bully-by-proxy government we suffer with now.,A God,A God
Mozambique: President to fight poverty05/01Mozambican president Armando Guebuza has said he would dedicate more of his efforts in fighting poverty in 2009.,Struggle,Struggle/War
This gun control battle has been waged for 80 years.,War,Struggle/War
The opposition attempts to obscure the blame by hiding behind the faceless shield of bureaucracy.,Protection,Clothing
Odinga had accused the government of President Mwai Kibaki of stealing last year's Presidential elections.,Crime/Theft,Theft
It also witnessed the evolution of the Senate from agent of compromise to an elite club of powerful committee chairmen.,Animal/Plant/Science,Movement
An Axis victory in Europe and Asia would threaten democracy in North America.,Physical Harm,Physical Harm/Struggle/War
"House votes to extend plastic gun ban After Newtown, focus of U.S. gun control battle shifts to states WASHINGTON (Reuters) - In the year since the massacre of 26 schoolchildren and adults in Newtown, Connecticut, efforts to pass gun legislation have stalled in the U.S. Congress but shifted to the states, helped by the deep pockets of outgoing New York Mayor Michael Bloomberg.",War,War
"[I]f we and our posterity reject religious instruction and authority, violate the rules of eternal justice, trifle with the injunctions of morality, and recklessly destroy the political constitution which holds us together, no man can tell how sudden a catastrophe may overwhelm us that shall bury all our glory in profound obscurity.",Natural Physical Force,Contamination/Physical Harm
How does marriage inequality hurt you or your family or your lesbian older sister or your gay best friend or your grandchild?,Physical Harm,Physical Harm
"At the same time, Myanmar is of vital strategic and economic importance to China and it clearly does not want to jeopardize its still delicate relationship with the junta by joining Western boycotts, condemnations and calls for the emergence of more democracy.",Physical Location/Upward Movement,Life Stage
"By harnessing input and expertise from a wide array of voices, we can continue to strengthen government.",Building/Strength,Building/Strength
Also I wanted to point out how Team Obama isn't just going to walk away from the Gun issues.,Struggle,Game
"Gun control advances in the Senate, Democrats thank MSM for propaganda April 11, 2013",Forward Movement,Forward Movement
"Alas, in the old age of democracy in which we live, equality takes precedence over liberty",Life Stage,Life Stage
Mr. Obama wants to steal our gun rights.,Theft,Theft
Eventually the Democrats hope you'll get used to the smell as the caps and taxes blossom in size and scope.,Plant,Plant
Civil nations must unanimously oppose a rough nation whose President openly declares his intention to destroy the only democracy of Middle East.,Natural Physical Force,Natural Physical Force/Physical Harm
The letter blames both parties for not doing more to tackle poverty.,Game,Disease/Emotion Experiencer
"Steele tried to take a bite out of Obama's big push to get health care reform legislation before the August recess by calling it a ""reckless experiment"" in the ""laboratory"" of Congress.",Building/Science,Crop
This has gone through the heart of the bureaucracy and emerged as policy.,Human Body,Physical Location
That is why gun control will win.,Competition/Game/Struggle,Competition/Game
If democrats don't want to be targeted they shouldn't vote for gun control.,Crime,Emotion Experiencer
"His wealth increased while prime minister, while Lebanese were increasingly impoverished under his rule.",Upward Movement,Upward Movement/Movement
"Indeed Buchanan goes further than liberals ever did, attacking what he calls ""the Democratist temptation, the worship of democracy"" as ""a false god.""",A God,A God
The gun cult and their stooges won't allow it to be released.,A God,A God
Another: Nobody who accepts gun control will fight gun control.,Struggle,Struggle
They come to Kansas City to work together to develop skills essential in overcoming poverty in their communities.,Struggle,Struggle
"The purpose of the humanitarian reconstruction and security assistance pledged last summer and the additional funds pledged at last month's Lebanon Donors' Conference in Paris, the press release notes, is ""to help all the Lebanese people rebuild their lives and country, while strengthening Lebanon's sovereign, democratic government and helping to ensure lasting peace.""",Building/Strength,Building/Strength
Gun control reduces deaths from firearms.,Downward Movement/Physical Burden,Downward Movement/Physical Burden
"Gun control addicts don't foresee that if firearms are completely banned, only criminals will have them.",Addiction,Addiction
Why do people think Texas is the pinnacle of gun rights?,High Location,High Location
"As to affluence being the cure for crime, Bernie Madoff.",Medicine,Disease/Medicine
"To paraphrase Mark Twain, rumors of the death of guns have been greatly exaggerated.",Life Stage,Life Stage
"lthough no one is required to literally worship the State or its rulers, this society is held together by the veneration of wealth and the exercise of political power.",A God,A God
Protecting Taxpayers,Protection,Protection
Many American corporations are dysfunctional because corporate democracy is a myth in the United States.,A God/Story,A God/Story
"The success of the 2012 Neighborhood Council elections in the short time frame was due to the hard work and collaboration of the Department staff, especially the IEAs, and the Neighborhood Councils with the Mayor's Office, City Council, Chief Administrative Officer, Chief Legislative Analyst, Office of the Controller, Office of the City Attorney, and the Office of the City Clerk, who set a solid election foundation and assisted the Department during election preparations.",Building,Competition
"Many are up in arms about taxes, claiming that taxes are destroying their ability to thrive.",Natural Physical Force,Physical Harm
We've seen that gun bans are wholly ineffectual and that extreme gun control victimizes the people it's designed to protect.,Crime,Crime/Physical Harm
"A vote on Thursday fell one shy of bringing the bill up for debate, leaving only one day left for consideration.",Resource,Competition
If change does not come we might be seeing the final chapter of American democracy.,Story,Story
These Are the People Our Money Is Murdering in Gaza 22 July 2014 davidswanson,Crime,Crime/Physical Harm
"Note that the full economic argument has two parts, each of which is conveniently neglected by pro- and anti-gun crusaders: on the one hand, gun control does increase the cost of having guns (including black market prices) and, therefore, does prevent some criminals from getting them; on the other hand, gun control increases the cost for honest citizens of protecting themselves with guns.",Upward Movement,Backward Movement
A subcommission of the United Nations Human Rights Council (HRC) has declared that there is no human right to personal self-defense and that extremely strict gun control is a human right which all governments are required to enforce immediately.,A Right,Rule Enforcer
"In a polity where the power is purported to reside in ""the people,"" and in a society organized by a ""performative order of speech,"" he who could captivate the attention of an audience and persuade them through ""artful delivery"" of the truthfulness of his view would be in a position to sway the tide of government.",Body of Water,Body of Water
Senators Willing to Surrender Our Second Amendment to UN Sovereignty,Struggle/War,Crime/Contamination
"The projected U.S. ""misery index"" in 2012 at the end of President Obama's first term â€“ which Hanke says is ""already baked in the cake"" -  is projected to be the worst since the presidency of Richard Nixon, and ""can be laid squarely at the feet of President Obama's own policy errors and the notion that a big interventionist government alleviates misery.""",Medicine/Physical Burden,Disease/Medicine
This aid enabled Europeans to overcome the poverty with which many of them struggled initially.,Struggle/War,Struggle
Opposing gun control doesn't mean I can't loathe gun culture.,Competition/Struggle,Struggle
Ist it longer than the 80 year gun control battle?,War,Struggle/War
He uses the mask of gun rights to intermingle in support of freaky far-right goon causes.,Clothing,Clothing
"everybody believes guns manufacture themselves and ship themselves, hello hi I would like to order 100 ak47s, 200 AR-15s, and 50 desert eagles.",Factory,Factory
"I believe progressive tax is a necessary evil, because the budget cannot be cut enough for any sort of flat tax that wouldn't break the working poor... this is typically a liberal/progressive view.",Monster,Emotion Experiencer/Monster
"But that affords no reason why those who do not believe in their utility or practicability, should be compelled to contribute to their support through the convenient shield of taxation.",Physical Harm/Protection,Protection
"It causes and/or exacerbates depression, alcoholism, murder, mayhem, destruction, road rage, callousness, disrespect, theft, sexual perversions of all kinds, cuddles criminals, makes crime profitable, in short, a democracy nurtures and breeds every conceivable pathogen designed to convulse life and, above all, a democracy steals liberties.",Crime/Theft,Crime/Theft
"$225,000 would certainly be a mountain of money to us!",Hazardous Geographic Feature,Hazardous Geographic Feature
"Thirdly, Hyden's proposal to limit direct government-to-government aid to infrastructure while requiring central governments to compete with local governments and grassroots organizations for development aid will, whether he intends it or not, have the effect of cutting, perhaps by as much as half, the already inadequate aid that African states now receive relative to their needs.",Competition/Game,Competition
What might harm our gun rights is this recent insistance on felons etc being able to buy firearms.,Physical Harm,Physical Harm
The recent Colorado killings gave liberals yet more ammunition (pardon the pun) to threaten our sacred gun rights.,A God,A God
"The claim is that ""it protected the guns of the time.""",Protection,Protection
BTW if anyone is fighting gun control in California how come they have not made one singe dent in gun controls advance that has stuck.,Struggle,War
"Von Stewart, a Forest Hills resident of five years, said Weiner has his vote next year, but said the congressman destroyed his mayoral aspirations.",Natural Physical Force,Contamination/Physical Harm
"When government robs capital from investors in the form of high taxes, it takes away the money that creates jobs.",Crime/Theft,Crime/Theft
"Let the 31 Club, led by Daryle S. Lambert, help turn your antique & collectible work into actions that produce vast wealth.",Machine,Factory
Find out how you can carry the torch for gun rights at a local level through personal contact and the media.,Fire/Light,Fire
UK Government Is Warming to Nuclear Power,Temperature,Emotion Experiencer
"Tweet During her Thursday press conference, House Minority Leader Nancy Pelosi said that Wednesday's sweeping gun control defeat in the Democrat-controlled  Senate is a setback, but not the end, of Democrats' gun control efforts.",Struggle,Competition
"Individually and collectively, we possess the power to protect and maintain democracy and democratic values.",Physical Harm/Protection,Building
Capitalism was also a major factor in the general advancement of bureaucracy.,Forward Movement,Forward Movement/Journey
"Illiberal Democracy at Home and Abroad warns that too much democracy threatens liberties, and that public-spirited elites should act as ""social stabilizers"" and not be accountable to public whim.",Physical Harm,Contamination/Physical Harm
His company railroaded our Federal government and avoided penalties associated with running a Trust only because the politicians they donated money to stole the election - apparently literally.,Theft,Resource/Theft
"Even as democracy claws its way into the kingdoms and autocracies of the Old World, the reality for us here in Mooresville is an economic one.",Animal,Animal/Plant/Science
"He believes strongly in equity, compassion and empowerment, and that the backbone of democracy is people working together",Human Body,Building/Science
They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,War,War
I thought they were in jail. what we do know is that there is a paucity of evidence that the anti gun nuts are able to find in the USA that demonstrate that gun bans or restrictions decrease crime. that's why those turds mainly try to apply other countries' statistics to the USA which never have any useful information Come now they are only as mislead as people who think they need to outgun the police.,Downward Movement,Downward Movement
"[But not] all the instruments of Delaware's rapacity take the form of meddlesome, high-handed government exacting inflated costs on out-of-state visitors.",Forceful Extraction,Servant
"Steve B says: July 3, 2013 at 11:07 am West Virginia’s Senator Joe Manchin is a gun control pimp flying under a false flag.",Crime,Human Body
0 0 Manifesting Abundance - Are You a Slave to Poverty?,Enslavement,Enslavement/Crime
"That money that was acquired was already taxed, now you want to punish them again by taxing it again.",Crime,A Right
Shutting off the supply of guns to criminals means thwarting the informal circulation of guns among the friends and associates of these men and stemming the supply obtained through theft.,Blood Stream,Business
"Mankind's progress commenced with the rule of sole authority of tribal kings, emperors and chiefs; today, after ages of constant and continued struggle, nations and societies have wrenched that sovereign right from their hands and have created a democracy for themselves.",Building,A Right
