,Unnamed: 0,Unnamed: 0.1,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Negative Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
0,785,785,"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",03 Conflict,Enemy,wealth,,attacking,wealth,Wealth,attacking,War,Blood Stream,118314,,
1,1190,1190,"In the run-up to 9 June 1983, Francis Pym, then Foreign Secretary, famously said ""landslides on the whole don't produce successful governments"".",05 Engineering and Business: Business,Product,governments,,produce,governments,Government,produce,Building,Factory,608673,,
2,314,314,"For those few examples, we are then suppose to accept their belief that if we have registration in the USA the eventual nextstep will be a confiscation of guns and a destruction of the right to bear arms.",01 Health and Safety,Threatened,the right to bear arms,destruction of [threatened],destruction of,right to bear arms,Gun Rights,destruction,Physical Harm,Human Body/Physical Harm,2665606,,
3,110,110,"In all actuality nothing is going to help Detroit, because you cannot help those who truly don't want to be helped, just like with any other addiction, yes addiction of poverty which it seems has taken a choke hold on Detroit's population, the addicted parties need to help themselves before anyone can truly help.",01 Health and Safety,Threat,poverty,,addiction,poverty,Poverty,addiction,Addiction,Physical Location/Protection/Natural Physical Force,159496,,
4,1550,1550,"President Obama called him ""the unsung hero of this campaign, who built the...best political campaign, I think, in the history of the United States of America.""",07 Systematic Explanations,Topic,campaign,,unsung,campaign,Elections,unsung,Story,High Location/Light,,,
5,260,260,They have been able to obtain a level of defense from the assault of poverty and have helped others along their way.,01 Health and Safety,Threat,poverty,,assault,poverty,Poverty,assault,War,Downward Movement,1971374,,
6,136,136,"Just like Obama exemption ultra-mega-billionaire heirs to WalMart from ObamaCare, just like tens of millions and billions in charity to mega corporations, Just like Obama cheering GE for paying ZERO taxes, ObamaCare is for property tax relief to the super rich to shift it instead to blue collar and middle class white collar workers.",01 Health and Safety,Threat,property tax,,relief,property tax,Taxation,relief,Disease,Hazardous Geographic Feature,2166248,,
7,726,726,Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,03 Conflict,Enemy,gun control,,fight,gun control,Control of Guns,fight,Struggle,Competition/Game,2909755,,
8,32,32,"Some would have you believe that this legislation cures voter identity fraud, continued Wilson.",01 Health and Safety,Protection,legislation,[protection] cure(s),cures,legislation,Government,cures,Disease,Contamination/Crime,153423,,
9,983,983,They are valued partners in an effort to combat hunger in America.,03 Conflict,Side,hunger,,combat,hunger,Poverty,combat,War,Body of Water,1760052,,
10,739,739,"As previously mentioned, competitive eater Takeru Kobayashi went to town on a bunch of fruitcake this morning, all in the name of fighting hunger for the Food Bank of NYC.",03 Conflict,Enemy,hunger,,fighting,hunger,Poverty,fighting,Struggle,Crop/Plant,134929,,
11,1080,1080,"By romanticizing, he means the veneration of taxation or, as is often pushed by the modern left, the sentiment best spoken by Justice Oliver Wendell Holmes, ""Taxes are the price we pay for civilized society"".",04 Power and Control: God,God,taxation,,veneration,taxation,Taxation,veneration,A God,Contamination,2377283,,
12,829,829,"In no way do our efforts challenge the right to bear arms.""",03 Conflict,Side,the right to bear arms,,challenge,the right to bear arms,Gun Rights,challenge,Competition,Food,2660233,,
