,Unnamed: 0,Sentence,Schema,Schema Slot,Negative Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
577,577,Gun rights don't trump overall liberty.,03 Conflict,Aid,Posture,Gun rights,,trump,Gun rights,Gun Rights,trump,Game,2727189,,
691,691,By 2009 the poverty rate stood at 14.3%--about where it was when the War of Poverty began.,03 Conflict,Conflict,Scale,Poverty,,War,Poverty,Poverty,War,War,43366,,
1319,1319,"14 Fearing the collapse of the Salvadoran government, the United States dramatically increased foreign aid and bolstered the Salvadoran military by providing advisers and supplying helicopters and attack aircraft.15",05 Engineering and Business: Engineering,Destruction Potential,Leader,DANGER,,collapse,government,Government,collapse,Building/Downward Movement,2663937,,
1201,1201,Guns made by the Glock Company and others produce quite distinctive impressions on cartridge cases.10 Other guns produce useless casing images.,05 Engineering and Business: Business,Product,Right,Guns,,produce,Guns,Guns,produce,Factory,3702926,,
910,910,"The Liberal party is still fighting the last election, maybe even the election before that.",03 Conflict,Side,Servant,election,,fighting,election,Elections,fighting,Struggle,2665765,,
688,688,Obama is making twitter a leading battlefront in the war of gun control as this is the sort of thing that the media understands and follows.,03 Conflict,Conflict,Protection,gun control,,war,gun control,Control of Guns,war,War,2378743,,
341,341,Apparently the simple fact that some 80% of households have a gun and that only 12% of the population support less gun control has no influence on your false belief that gun owners will vote to defend their firearms.,01 Health and Safety,Threatened,Body Part,firearms,,defend,firearms,Guns,defend,Protection,2673214,,
1280,1280,"In a system of taxation based on justice and equity it is fundamental that the burdens be proportioned to the capacity of the people contributing (Mater et Magistra, 132).",05 Engineering and Business: Engineering,Built,Threat,taxation,,system,taxation,Taxation,system,Machine,2666449,,
336,336,"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",01 Health and Safety,Threatened,Change Type,wealth,,attacking,wealth,Wealth,attacking,Physical Harm/Struggle/War,118314,,
1506,1506,"However, the torture of bureaucracy did not stop the workers from going on strike---they fought for their rights.",06 Morality and Justice,Victim,Beneficial Plant,bureaucracy,,torture,bureaucracy,Bureaucracy,torture,Crime,762265,,
711,711,"Together, you and I CAN defeat the Internet sales tax, but you must take action now!",03 Conflict,Enemy,Body of Water,sales tax,,defeat,sales tax,Taxation,defeat,Game/Struggle,158431,,
1173,1173,Gun control is selling perceived safety by scare tactics and making people afraid.,05 Engineering and Business: Business,Business,Beneficial,Gun control,,selling,Gun control,Control of Guns,selling,Business,2903013,,
129,129,"For those without privilege, the assault of hunger and the search for a quiet place to sleep take numbing precedence over the celebration of embodiment.",01 Health and Safety,Threat,Domesticated Animal,hunger,,assault,hunger,Poverty,assault,Crime/Physical Harm,1600299,,
818,818,"Democracy won, and bureaucracy lost, said Nevadans for Sound Government attorney Joel Hansen, who praised the judge's ruling as historic for Nevada.",03 Conflict,Loser,Threatened,bureaucracy,,lost,bureaucracy,Bureaucracy,lost,Game,2007447,,
128,128,"As can be seen by the horrendous event in Virginia, ""gun control kills"".",01 Health and Safety,Threat,Change,gun control,,kills,gun control,Control of Guns,kills,Crime,2377036,,
1481,1481,Odinga had accused the government of President Mwai Kibaki of stealing last year's presidential elections.,06 Morality and Justice,Property,Product,Presidential elections,,stealing,presidential elections,Elections,stealing,Theft,2629356,,
687,687,His speech marked just the start of the gun control war.,03 Conflict,Conflict,Light Level,gun control,[conflict] war,war,gun control,Control of Guns,war,War,2378741,,
1426,1426,Money$kills Camp,06 Morality and Justice,Criminal,Destination,Money,,Kills,Money,Wealth,kills,Crime/Physical Harm,2246826,,
557,557,Tax is necessary to fuel the engine of government.,02 Journey,Vehicle,Weather,government,the engine of [vehicle],engine of,government,Government,engine,Vehicle,152583,,
863,863,"Legal scholar Waldman examines the political forces behind that change, including the growing influence of the National Rifle Association and how gun rights play into the culture wars.",03 Conflict,Side,Resource,gun rights,,play,gun rights,Gun Rights,play,Game,2135691,,
845,845,The contradictions of Kenya -- where multiparty democracy competes with feudal tribalism -- could be said to be precisely those you would expect in a country racing at breakneck speed towards modernity.,03 Conflict,Side,Topic,Democracy,,competes,democracy,Democracy,competes,Competition/Game,760940,,
1723,1723,"For those owners that already are educated in the regulations (AKA pilots/owners) and understand what it takes to maintain and fly a safe aircraft, this new regulation would be a breeze.",13 Nature: Weather,Weather Type,Body Part,CLEMENT,,breeze,regulation,Bureaucracy,regulation,Natural Physical Force,breeze,,
1051,1051,"Most other organisation do the same, Sell guns, glorify guns, promote guns, promote sports, training and membership.",04 Power and Control: God,God,Cooling,guns,,glorify,guns,Guns,glorify,A God,2169496,,
144,144,"Some argue that investment tax breaks reduce double taxation, since profits are taxed at both the corporate level and at the individual level when distributed to shareholders as capital gains or dividends.",01 Health and Safety,Threat,Right,tax breaks,,reduce,tax breaks,Taxation,reduce,Downward Movement,2662575,,
1538,1538,Is U.S. Democracy A Failed Experiment?,07 Systematic Explanations,Failed Experiment,Goal,U. S. Democracy,[failed experiment] a failed experiment,failed experiment,Democracy,Democracy,experiment,Science,,,
60,60,I did the  money cures that he would win big jackpot in bingo as he love to play it!,01 Health and Safety,Protection,Light Level,money,,cures,money,Wealth,cures,Medicine,1997525,,
1271,1271,Its work fosters an informed citizenry and strengthens democracy.,05 Engineering and Business: Engineering,Built,Body,democracy,,strengthens,democracy,Democracy,strengthens,Building/Strength,2383810,,
625,625,Archbishop unveils plans for London event to challenge global governments to reach targets on tackling poverty,03 Conflict,Conflict,Crime,poverty,,tackling,poverty,Poverty,tackling,Game,2096704,,
1227,1227,"Regardless, if I grow 10 tomatos, and you only grow 2, I have created more wealth than you have.",05 Engineering and Business: Engineering,Built,Wild Animal,wealth,,created,wealth,Wealth,created,Building,2898681,,
1102,1102,Not everyone worships firearms like they have some right-to-life.,04 Power and Control: God,God,Victim,firearms,,worships,firearms,Guns,worships,A God,2179649,,
203,203,SEIA warns US Tariffs may damage solar industry,01 Health and Safety,Threat,Enemy/Side,Tariffs,,damage,Tariffs,Taxation,damage,Physical Harm,2660628,,
86,86,"We will not partake in an election to choose a new oppressor, a new custodian of capital, a new guardian of poverty.",01 Health and Safety,Protection,Change,poverty,,guardian,poverty,Poverty,guardian,Protection,3121114,,
1358,1358,"It appears that you are unaware that the counting process is an integral part of true democracy, and democracy extracts a very high price on the individual.",05 Engineering and Business: Resource,Extractor,Destination,democracy,[extractor] extracts,extracts,democracy,Democracy,extracts,Forceful Extraction/Resource,155851,,
1349,1349,"What, however, is the mechanism by which democracy generates these beneï¬Åts?",05 Engineering and Business: Resource,Extractor,Farmer/Gardener,democracy,,generates,democracy,Democracy,generates,Energy/Machine,1971909,,
1375,1375,"Poverty will increase and health will suffer unless there is clear policy to address decreasing water affordability, a leading public health organisation has said.",05 Engineering and Business: Resource,Resource,Body of Water,poverty,,increase,Poverty,Poverty,increase,Upward Movement,2674659,,
381,381,that claim destroys your prior argument that the second amendment protects no gun nor any class of firearms,01 Health and Safety,Threatened,Farmer/Gardener,gun,,protects,gun,Guns,protects,Protection,2147028,,
1233,1233,"This reclaiming of their lands reinforces their right to them, and their possession remains unbroken thereafter.",05 Engineering and Business: Engineering,Built,Entity Age,right,,reinforces,right,Democracy,reinforces,Building/Strength,513614,,
1445,1445,"Popularity justifies any behavior, and for this reason no social or moral standards withstand the assault of democracy.",06 Morality and Justice,Criminal,Entity Age,democracy,,assault,democracy,Democracy,assault,Physical Harm,2666539,,
1410,1410,"They just think that they have a sound bite that makes it look like these nasty, poor, and predominately black folks are trying to steal the election from the good white Christian folks who would do no wrong.",06 Morality and Justice,Crime,Entity,election,,steal,election,Elections,steal,Theft,550694,,
357,357,This history exposes as a lie the case that parliaments alone can protect human rights.,01 Health and Safety,Threatened,Level,human rights,,protect,human rights,Democracy,protect,Protection,2507289,,
530,530,We are always pleased to show our clients the progress of their guns.,02 Journey,Change,Relationship,guns,,progress,guns,Guns,progress,Forward Movement,3614271,,
1668,1668,"Oh, yea, and don't forgetâ€_ a mountain of ammo to go with them.",12 High and Low,Scale,Component,ammo,,mountain,ammo,Guns,mountain,Hazardous Geographic Feature,3726146,,
134,134,"Democracy is an infection that can take hold in the most historically unlikely of hosts including Japan , Korea, and well.. even Germany.",01 Health and Safety,Threat,Movement,Democracy,,infection,Democracy,Democracy,infection,Disease,164723,,
125,125,"Live Simply - Invest In What MattersThe reality is, wealth can corrupt and poverty can corrupt.",01 Health and Safety,Threat,Hot,wealth,,corrupt,wealth,Wealth,corrupt,Contamination,2925057,,
390,390,why is attacking gun rights almost always a hobby of the socialist left?,01 Health and Safety,Threatened,Barrier,gun rights,,attacking,gun rights,Gun Rights,attacking,Struggle,2701312,,
542,542,the fact that two of the most anti gun turds in congress are pushing for this ALONE proves what the purpose is. to advance gun control,02 Journey,Goal,Conflict,advance gun control,purpose is to [goal],purpose is to,gun control,Gun Rights,advance,Forward Movement,,,
1585,1585,"Rather, Abe's Japan is a wealthy, mature, and greying democracy.",10 Human Life Cycle and Family Relations,Entity,Wild Animal,democracy,greying [entity],greying,democracy,Democracy,greying,Life Stage,,,
790,790,An analysis conducted in September for FRAC by Peter D. Hart Associates and McLaughlin & Associates showing that Americans believe the nation's officeholders need to do more to combat hunger.,03 Conflict,Enemy,Change,hunger,,combat,hunger,Poverty,combat,War,2671481,,
216,216,"The 17 grain bullet is touted as the varmint bullet, and the less destructive, deeper penetrating 20 grain bullet is recommended for small game hunting.",01 Health and Safety,Threat,Crime,bullet,,destructive,bullet,Guns,destructive,Physical Harm,2986498,,
774,774,Business Fights Poverty is an international network for professionals passionate about fighting world poverty through good business.,03 Conflict,Enemy,Criminal,poverty,,fighting,poverty,Poverty,fighting,Struggle/War,1081745,,
444,444,"Gun control advances in the Senate, Democrats thank MSM for propaganda April 11, 2013",02 Journey,Agent,Domesticated Animal,Gun control,[agent] advances,advances,Gun control,Control of Guns,advances,Forward Movement,2378622,,
1565,1565,"In reality, these letters - 106 to rifle owners, and 108 more to residents with standard capacity magazines – are the first step in the Connecticut State Police beginning to round up guns arbitrarily made illegal last year in that state.",09 Animals,Domesticated Animal,Undesirable Plant,guns,round up [domesticated animal],round up,guns,Guns,round up,Animal,2376910,,
897,897,"I may be wrong here, but that's what I assume... Thank you!! It frustrates me that those who fight for ultimate gun rights deny this kind of stuff.",03 Conflict,Side,Degree,gun rights,,fight,gun rights,Gun Rights,fight,Struggle,2138386,,
36,36,Is he that ignorant of how math works that he thinks the 5% additional tax on the select few will cure the woes and allow the government to keep spending like drunken sailors on leave?,01 Health and Safety,Protection,Scientist,tax,,cure,tax,Taxation,cure,Disease/Medicine,2895900,,
1550,1550,"President Obama called him ""the unsung hero of this campaign, who built the...best political campaign, I think, in the history of the United States of America.""",07 Systematic Explanations,Topic,Fire,campaign,,unsung,campaign,Elections,unsung,Story,,,
848,848,"You know what that says to me...it says to me that the ""gun control team"" isn't really doing what they say they are doing.",03 Conflict,Side,Level,gun control,,team,gun control,Control of Guns,team,Competition/Game,2153548,,
1423,1423,"The American gun owner will surely endure Draconian gun laws and confiscations, the ATF will get more funding and the anti-gun bigots will continue to dance in the blood of gun control victims.",06 Morality and Justice,Criminal,Size,anti-gun bigots,,,gun control,Control of Guns,victims,Crime,2377041,,
454,454,Gun Owners of America and others that have come on board to replace the NRA in our national gun rights quest are doing a great service for us.,02 Journey,Agent,Level,gun rights,,quest,gun rights,Gun Rights,quest,Journey,2377587,,
823,823,"Modern Liberalism's many accomplishments, like the war on poverty that ended with the unconditional surrender of poverty, are just intimidating.",03 Conflict,Loser,Relationship,poverty,,surrender,poverty,Poverty,surrender,Struggle,2378503,,
1623,1623,My take on the fall of gun control this week.,12 High and Low,Agent,Legit,gun control,fall of [agent],fall of,gun control,Control of Guns,fall,Downward Movement,2377139,,
959,959,Fighting gun control?,03 Conflict,Side,Built,gun control,,fighting,gun control,Control of Guns,Fighting,Struggle/War,2180688,,
22,22,Back in the 1760's there was a far greater amount of threat that a gun could potentially alleviate than there is for a person at a local starbucks.,01 Health and Safety,Protection,Change,gun,[protection] * alleviate,alleviate,gun,Guns,alleviate,Disease,,,
456,456,"The poverty sojourn is slated to begin Sunday, July 15, in -- can you guess where?",02 Journey,Agent,Destination,poverty,,sojourn,poverty,Poverty,sojourn,Journey,3121034,,
1329,1329,"You are now charged with a felony and if the charges stick in court, your gun rights evaporate.",05 Engineering and Business: Resource,Change Type,Enemy,DECREASE,,evaporate,gun rights,Gun Rights,evaporate,Body of Water,2376959,,
763,763,That alone is more than enough to reverse and defeat gun control.,03 Conflict,Enemy,Property,gun control,,defeat,gun control,Control of Guns,defeat,Struggle/War,2160248,,
1408,1408,A gun can't kill anyone.,06 Morality and Justice,Crime,Body Part,gun,,kill,gun,Guns,kill,Physical Harm,2672670,,
963,963,"They criticise the movement on the grounds that, There is no discussion of even the possibility of founding powerful new political parties, fighting elections, winning office and forming governments with a mandate for fundamental economic and social change "" (p.106).",03 Conflict,Side,Protection,elections,,fighting,elections,Elections,fighting,Struggle/War,1997664,,
1611,1611,New York State's latest gun control brilliance has restricted active police officers and retired police officers to a maximum of seven (7) rounds in their pistols and rifles.,11 Darkness and Light,Entity,Extractor,gun control,[entity] brilliance,brilliance,gun control,Control of Guns,brilliance,Light,2377661,,
1758,1758,Melinda Herman has now become a new face of gun rights amid the dramatic story of her defending herself and two children with a six-shot revolver.,14 Embodied Experience: Human Body,Part Type,Failed Experiment,FACE,,face,gun rights,Gun Rights,face,Human Body,2377567,,
559,559,Your vehicle of wealth is the most important element to your accumulation of riches.,02 Journey,Vehicle,Child,wealth,,vehicle,wealth,Wealth,vehicle,Vehicle,23668,,
1766,1766,And how government is boiling over with too much interference in private life,14 Embodied Experience: Temperature,Hot,Protection,government,[hot] is boiling,is boiling,government,Government,boiling,Temperature,153445,,
453,453,"That puts us that much further ahead in our wealth journey because he's got the experience, he's got great staff and he knows all the geography.",02 Journey,Agent,Topic,wealth,,journey,wealth,Wealth,journey,Journey,3122882,,
1217,1217,Chicagoland Whet Moser: A modest proposal for selling special elections.,05 Engineering and Business: Business,Product,Built,elections,,selling,elections,Elections,selling,Resource,1781821,,
1341,1341,"Poverty engenders a social environment characterized by hopelessness and disenfranchisement, leading to substance abuse and violence.",05 Engineering and Business: Resource,Extractor,Agent,Poverty,,engenders,Poverty,Poverty,engenders,Animal,159011,,
526,526,"Emphasizing equality, trust and understanding, the Commonwealth facilitates the advancement of democracy, human rights and sustainable economic and social development within its member countries and beyond.",02 Journey,Change,Beneficial,democracy,,advancement,democracy,Democracy,advancement,Forward Movement,709880,,
1444,1444,Taxation destroys earnings and ability to save/invest...inflation destroys monetary wealth already owned.,06 Morality and Justice,Criminal,Clothing,Taxation,,destroys,Taxation,Taxation,destroys,Natural Physical Force/Physical Harm,159206,,
1600,1600,"Alas, in the old age of democracy in which we live, equality takes precedence over liberty",10 Human Life Cycle and Family Relations,Entity Age,Servant,AGED,,old age of,democracy,Democracy,old age,Life Stage,,,
495,495,"A trust (or trusts) can help reduce your overall estate-tax burden, often while achieving other goals as well.",02 Journey,Barrier,Entity,estate-tax,,burden,estate-tax,Taxation,burden,Physical Burden,2664993,,
399,399,Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,01 Health and Safety,Threatened,Weather,gun control,,fight,gun control,Control of Guns,fight,Struggle,2909755,,
906,906,"If the government does not fight poverty, poverty will be the victor at the next elections.",03 Conflict,Side,God,poverty,,fight,poverty,Poverty,fight,Struggle,2666967,,
667,667,"A trio of civil rights groups and a labor union on Monday filed briefs in a Washington federal appeals court, joining a government battle to regulate UPMC as a federal contractor subject to affirmative action compliance audits.",03 Conflict,Conflict,Body of Water,government,,battle,government,Bureaucracy/Government,battle,War,762124,,
1088,1088,Has CSM joined modern liberals in their elevation and worship of elections as determinants of morality to the exclusion of God and reason?,04 Power and Control: God,God,Punishment,elections,,worship,elections,Elections,worship,A God,2377487,,
418,418,"Opposition parties in Thailand used the issue to attack the government, which initially backed the heritage listing.",01 Health and Safety,Threatened,Legit,government,,attack,government,Government,attack,War,382737,,
1519,1519,"But here's the problem: If it's really true that gun rights are being endangered all across this nation, then that means that gun enthusiasts are going to have to be extremely careful with any comment they make supporting 2A rights.",06 Morality and Justice,Victim,Threat,gun rights,,endangered,gun rights,Gun Rights,endangered,Physical Harm,2720233,,
1356,1356,"In a settled society, government exacts tribute from everyone that works or buys and sells.",05 Engineering and Business: Resource,Extractor,Child,government,[extractor] exacts,exacts,government,Money,exacts,Forceful Extraction,152720,,
1244,1244,b. Exchange successful experiences and methodologies with a view to strengthen democratic processes in the region.,05 Engineering and Business: Engineering,Built,Hot,democratic processes,,strengthen,democratic processes,Democracy,strengthen,Building/Strength,2807023,,
1208,1208,"Home / Featured / The War Against Work And Wealth The War Against Work And Wealth Work produces wealth; less work means less wealth, and also less upward mobility for those who drop out of the labor force.",05 Engineering and Business: Business,Product,Extractor,wealth,,produces,wealth,Wealth,produces,Factory,3125402,,
188,188,Poverty destroys because it is invisible.,01 Health and Safety,Threat,Built,Poverty,,destroys,Poverty,Poverty,destroys,Natural Physical Force/Physical Harm,159556,,
337,337,I have a right to defend my gun rights and will to the end.,01 Health and Safety,Threatened,Built,gun rights,defend [threatened],defend,gun rights,Gun Rights,defend,Protection,2729239,,
464,464,"I am therefore hijacking the terminology again, and declaring America on the edge of a gun control cliff.",02 Journey,Barrier,Beneficial Plant,gun control,[barrier] cliff,cliff,gun control,Control of Guns,cliff,Abyss,2377544,,
1592,1592,"The birth of Gun Control dates back to the control of the just freed slaves, just as the Ku Klux Klan was designed to control blacks in the south.",10 Human Life Cycle and Family Relations,Entity Age,Enemy/Side,BIRTH,,birth,Gun Control,Control of Guns,birth,Life Stage,2377605,,
475,475,"Infrastructure, homelessness hamper recovery",02 Journey,Barrier,Servant,homelessness,,recovery,homelessness,Poverty,recovery,Barrier,2669363,,
1448,1448,"My point was that governments have killed more people - the OP did not say the US government but the last time I looked the US Govt was in fact a ""government"" and ""governments"" have killed far more people then individuals not engaged in the service of ""government.""",06 Morality and Justice,Criminal,Body,governments,,killed,governments,Government,killed,Physical Harm,2673067,,
1287,1287,"answered 1 year ago The ""sporting use"" argument came about during gun manufacturer's efforts to shape gun control while passing the 1968 legislation--hunting has nothing to do with the second amendment, it was just a way to outlaw cheap imports at the time.",05 Engineering and Business: Engineering,Built,Vehicle,gun control,,shape,gun control,Control of Guns,shape,Shape,3123565,,
746,746,So are you arguing that the founders opposed private gun ownership?,03 Conflict,Enemy,Posture,gun ownership,,opposed,gun ownership,Guns,opposed,Struggle,2731631,,
118,118,"As the government overdoses on power, it reacts, takes over, advancing to levels of control that we would have resisted not too long ago.",01 Health and Safety,Threat,Domesticated Animal,power,overdose on [threat],overdose,government,Government,overdoses,Addiction,152809,,
462,462,"Indeed, the President of Indonesia remarked at that time: ""The primary task of development is to uplift the common people from the abyss of poverty and the principal solution for raising the weak from poverty and destitution is through cooperatives.""",02 Journey,Barrier,Entity,poverty,,abyss,poverty,Poverty,abyss,Abyss,171290,,
786,786,"He attacks corporations, he attacks those who've worked hard to accumulate wealth for their families (good for them!), he attacks the banking industry, he attacks taxpayers by raising taxes.",03 Conflict,Enemy,Resource,taxpayers,,attacks,taxpayers,Taxpayers,attacks,War,2377903,,
1595,1595,And maybe Thiel's libertarian utopia could become a reality as democracy is buried once and for all.,10 Human Life Cycle and Family Relations,Entity Age,Torch,DEATH,,is buried,democracy,Democracy,buried,Life Stage,,,
235,235,"There were five votes in the JCS, and a single vote could kill a project.",01 Health and Safety,Threat,Beneficial Plant,vote,,kill,vote,Elections,kill,Physical Harm,2859071,,
1666,1666,"There's a mountain of ""the bottom line of money,"" a mountain of competition, a mountain of capitalism and another of socialism, there's a mountain of democracy and another of dictatorship, a mountain for every world religion: Islam, Buddhism, Christianity, Judaism, and more; and mountains for every racial and cultural group: African, Japanese, Brazilian.",12 High and Low,Scale,Body Part,democracy,,mountain,democracy,Democracy,mountain,Hazardous Geographic Feature,1966750,,
824,824,That alone is more than enough to reverse and defeat gun control.,03 Conflict,Loser,Threat,gun control,,defeat,gun control,Control of Guns,defeat,Struggle/War,2160248,,
401,401,AT&T agrees to help fight childhood hunger,01 Health and Safety,Threatened,Weather,hunger,,fight,hunger,Poverty,fight,Struggle,2294245,,
77,77,Riley said accommodations taxes relieve local taxpayers of paying the costs of accommodating visitors.,01 Health and Safety,Protection,Change,taxes,,relieve,taxes,Taxation,relieve,Physical Burden,158693,,
325,325,"As we move into 2007, Jones said things farmers need to watch for that could impact their income include international trade agreements, the U.S. farm bill debate, energy costs, interest rates, and national and world economic growth.",01 Health and Safety,Threatened,Loser,income,,impact,income,Wealth,impact,Physical Harm,498427,,
322,322,Has Inflation Hurt the Poor?,01 Health and Safety,Threatened,Victim,the Poor,,Hurt,the Poor,Poverty,Hurt,Physical Harm,2879867,,
594,594,She was no innocent suddenly caught up in a national scandal; she is precisely one of those petty bureacrats who expertly wields the bludgeon of government to serve her interests.,03 Conflict,Aid,Beneficial Plant,government,bludgeon of [aid],bludgeon of,government,Government,bludgeon,War,152762,,
1675,1675,Well constrast this to our current government run system where crimnal proceedings take many years and mountains of money.,12 High and Low,Scale,Threat,money,,mountains,money,Wealth,mountains,Hazardous Geographic Feature,53244,,
1725,1725,"The perfect storm of homelessness and poor health in South Los Angeles requires a powerful human right to health approach that can engender the broad-based support and political will necessary to implement long overdue, desperately needed solutions.",13 Nature: Weather,Weather Type,Weather,INCLEMENT,,storm,homelessness,Poverty,storm,Natural Physical Force,124636,,
708,708,"United Nations World Food Programme ""WFP is the frontline United Nations organization fighting to eradicate world hunger -- whether it is the hunger that suddenly afflicts people fleeing ethnic conflict in Rwanda or Bosnia or the chronic hunger that affects the hungry poor in countries such as Bangladesh or India.",03 Conflict,Enemy,Loser,hunger,,Eradicate,hunger,Poverty,eradicate,Disease/Physical Harm,2674222,,
552,552,"No word yet as to how Feinstein is dealing with the fact that gun violence will be helping her hobble along on the same exact gun control path that paved the way for Adolf Hitler to murder millions of innocent, disarmed citizens.",02 Journey,Goal,Barrier,gun control,[goal] path,path,gun control,Control of Guns,path,Pathway,2378647,,
1660,1660,In the process they burn their fingers and even fall deeper down the abyss of poverty.,12 High and Low,Scale,Scientist,poverty,,abyss,poverty,Poverty,abyss,Abyss,158567,,
1606,1606,The political framework that created the most recent dark days of gun control: how do we keep guns out of the hands of criminals?,11 Darkness and Light,Entity,Protection,gun control,dark days of [entity],dark days of,gun control,Control of Guns,dark days,Darkness,2377054,,
476,476,"Should it be built around high tariff walls and protectionism, or should it be open?",02 Journey,Barrier,Beneficial,tariff,,walls,tariff,Taxation,walls,Barrier/Building,2460846,,
791,791,"In 1962 -- prior to Lyndon Johnson's War on Poverty -- The ""Gray Areas Project"" was the first attempt to combat poverty across America.",03 Conflict,Enemy,Criminal,poverty,,combat,poverty,Poverty,combat,War,2673820,,
